TRIMESTRE,INTERES NOMINAL ANUAL,INFLACION ,INTERES TRIMESTRAL,INTERES REAL
1980/01,19.81615385,2.75,4.954038462,2.204038462
1980/02,22.18615385,2.0375,5.546538462,3.509038462
1980/03,21.91384615,1.87,5.478461538,3.608461538
1980/04,26.12230769,2.27,6.530576923,4.260576923
1981/01,28.80846154,2.52,7.202115385,4.682115385
1981/02,28.30307692,1.7325,7.075769231,5.343269231
1981/03,32.63384615,1.975,8.158461538,6.183461538
1981/04,33.52928571,2.95,8.382321429,5.432321429
1982/01,35.16666667,4.4925,8.791666667,4.299166667
1982/02,43.24,5.2525,10.81,5.5575
1982/03,53.00928571,6.7225,13.25232143,6.529821429
1982/04,51.38846154,7.95,12.84711538,4.897115385
1983/01,62.26538462,6.855,15.56634615,8.711346154
1983/02,63.01615385,4.85,15.75403846,10.90403846
1983/03,58.43461538,3.805,14.60865385,10.80365385
1983/04,54.22076923,4.955,13.55519231,8.600192308
1984/01,49.80846154,5.0575,12.45211538,7.394615385
1984/02,49.56307692,3.6375,12.39076923,8.753269231
1984/03,50.60923077,3.1475,12.65230769,9.504807692
1984/04,48.37153846,4.6475,12.09288462,7.445384615
1985/01,51.58769231,4.63,12.89692308,8.266923077
1985/02,61.20230769,2.8575,15.30057692,12.44307692
1985/03,71.62230769,3.91,17.90557692,13.99557692
1985/04,69.89384615,6.015,17.47346154,11.45846154
1986/01,76.91769231,5.79,19.22942308,13.43942308
1986/02,82.45076923,5.5475,20.61269231,15.06519231
1986/03,90.5,6.17,22.625,16.455
1986/04,106.07,7.12,26.5175,19.3975
1987/01,103.9938462,7.67,25.99846154,18.32846154
1987/02,98.84230769,7.905,24.71057692,16.80557692
1987/03,96.30538462,7.7975,24.07634615,16.27884615
1987/04,113.7042857,11.6225,28.42607143,16.80357143
1988/01,125.7738462,8,31.44346154,23.44346154
1988/02,43.51538462,2.18,10.87884615,8.698846154
1988/03,32.45,0.98,8.1125,7.1325
1988/04,40.06,1.66,10.015,8.355
1989/01,49.55769231,1.5975,12.38942308,10.79192308
1989/02,53.148,1.2725,13.287,12.0145
1989/03,36.148,1.0975,9.037,7.9395
1989/04,39.83307692,2.77,9.958269231,7.188269231
1990/01,42.99166667,2.5925,10.74791667,8.155416667
1990/02,38.49230769,1.8225,9.623076923,7.800576923
1990/03,31.22153846,1.5975,7.805384615,6.207884615
1990/04,27.70692308,2.45,6.926730769,4.476730769
1991/01,23.30846154,1.695,5.827115385,4.132115385
1991/02,20.04461538,0.99,5.011153846,4.021153846
1991/03,18.29461538,0.935,4.573653846,3.638653846
1991/04,17.70615385,1.9525,4.426538462,2.474038462
1992/01,14.35846154,1.2275,3.589615385,2.362115385
1992/02,13.15923077,0.715,3.289807692,2.574807692
1992/03,17.58461538,0.7075,4.396153846,3.688653846
1992/04,18.43071429,1.055,4.607678571,3.552678571
1993/01,18.345,0.8075,4.58625,3.77875
1993/02,16.37230769,0.5475,4.093076923,3.545576923
1993/03,14.33,0.5425,3.5825,3.04
1993/04,12.89461538,0.5975,3.223653846,2.626153846
1994/01,10.28923077,0.5725,2.572307692,1.999807692
1994/02,16.645,0.4775,4.16125,3.68375
1994/03,15.33230769,0.535,3.833076923,3.298076923
1994/04,15.92769231,1.4225,3.981923077,2.559423077
1995/01,52.26846154,5.4675,13.06711538,7.599615385
1995/02,57.02769231,4.34,14.25692308,9.916923077
1995/03,36.58615385,1.9575,9.146538462,7.189038462
1995/04,48.29153846,2.845,12.07288462,9.227884615
1996/01,41.67538462,2.74,10.41884615,7.678846154
1996/02,32.49923077,1.9275,8.124807692,6.197307692
1996/03,29.50615385,1.4,7.376538462,5.976538462
1996/04,27.70384615,2.135,6.925961538,4.790961538
1997/01,23.08538462,1.6425,5.771346154,4.128846154
1997/02,21.52461538,0.9375,5.381153846,4.443653846
1997/03,19.97153846,0.9525,4.992884615,4.040384615
1997/04,20.49642857,1.375,5.124107143,3.749107143
1998/01,19.91666667,1.51,4.979166667,3.469166667
1998/02,19.74461538,0.97,4.936153846,3.966153846
1998/03,27.97416667,1.2425,6.993541667,5.751041667
1998/04,35.47357143,2.0425,8.868392857,6.825892857
1999/01,27.94384615,1.43,6.985961538,5.555961538
1999/02,21.13666667,0.71,5.284166667,4.574166667
1999/03,21.18428571,0.705,5.296071429,4.591071429
1999/04,18.77846154,0.965,4.694615385,3.729615385
2000/01,15.98076923,0.8375,3.995192308,3.157692308
2000/02,15.60615385,0.48,3.901538462,3.421538462
2000/03,15.51076923,0.59,3.877692308,3.287692308
2000/04,17.53307692,0.795,4.383269231,3.588269231
2001/01,17.58384615,0.4025,4.395961538,3.993461538
2001/02,12.75076923,0.1775,3.187692308,3.010192308
2001/03,9.784615385,0.4275,2.446153846,2.018653846
2001/04,8.636153846,0.4725,2.159038462,1.686538462
2002/01,7.588461538,0.48,1.897115385,1.417115385
2002/02,6.77,0.3825,1.6925,1.31
2002/03,7.549230769,0.4275,1.887307692,1.459807692
2002/04,7.811538462,0.5225,1.952884615,1.430384615
2003/01,8.874615385,0.37,2.218653846,1.848653846
2003/02,6.498461538,0.0175,1.624615385,1.607115385
2003/03,5.199230769,0.3525,1.299807692,0.947307692
2003/04,5.623571429,0.5625,1.405892857,0.843392857
2004/01,5.648333333,0.4275,1.412083333,0.984583333
2004/02,6.703846154,0.08,1.675961538,1.595961538
2004/03,7.518571429,0.6,1.879642857,1.279642857
2004/04,8.486923077,0.4375,2.121730769,1.684230769
2005/01,9.299230769,0.285,2.324807692,2.039807692
2005/02,9.883076923,0.1,2.470769231,2.370769231
2005/03,9.493076923,0.29,2.373269231,2.083269231
2005/04,8.600769231,0.5425,2.150192308,1.607692308
2006/01,7.568461538,0.255,1.892115385,1.637115385
2006/02,7.246923077,0.015,1.811730769,1.796730769
2006/03,7.173076923,0.5575,1.793269231,1.235769231
2006/04,7.174615385,0.515,1.793653846,1.278653846
2007/01,7.198461538,0.24,1.799615385,1.559615385
2007/02,7.32,-0.0025,1.83,1.8325
2007/03,7.362307692,0.5,1.840576923,1.340576923
2007/04,7.546923077,0.4925,1.886730769,1.394230769
2008/01,7.523076923,0.4275,1.880769231,1.453269231
2008/02,7.633846154,0.2725,1.908461538,1.635961538
2008/03,8.285384615,0.625,2.071346154,1.446346154
2008/04,8.105714286,0.685,2.026428571,1.341428571
2009/01,7.4,0.345,1.85,1.505
2009/02,5.461538462,0.1275,1.365384615,1.237884615
2009/03,4.628461538,0.3275,1.157115385,0.829615385
2009/04,4.616428571,0.58,1.154107143,0.574107143
2010/01,4.629230769,0.515,1.157307692,0.642307692
2010/02,4.64,-0.19,1.16,1.35
2010/03,4.628571429,0.41,1.157142857,0.747142857
2010/04,4.4,0.6025,1.1,0.4975
2011/01,4.344615385,0.2625,1.086153846,0.823653846
2011/02,4.406153846,-0.0675,1.101538462,1.169038462
2011/03,4.26,0.39,1.065,0.675
2011/04,4.397692308,0.82,1.099423077,0.279423077
2012/01,4.427692308,0.165,1.106923077,0.941923077
2012/02,4.396923077,0.0975,1.099230769,1.001730769
2012/03,4.328461538,0.4525,1.082115385,0.629615385
2012/04,4.347692308,0.455,1.086923077,0.631923077
2013/01,4.169230769,0.4225,1.042307692,0.619807692
2013/02,3.809230769,-0.0875,0.952307692,1.039807692
2013/03,3.823076923,0.2775,0.955769231,0.678269231
2013/04,3.453846154,0.7175,0.863461538,0.145961538
2014/01,3.366153846,0.305,0.841538462,0.536538462
2014/02,3.292307692,-0.015,0.823076923,0.838076923
2014/03,2.886923077,0.4075,0.721730769,0.314230769
2014/04,2.931428571,0.44,0.732857143,0.292857143
2015/01,2.988333333,0.0625,0.747083333,0.684583333
2015/02,3.097692308,-0.11,0.774423077,0.884423077
2015/03,3.258461538,0.31,0.814615385,0.504615385
2015/04,3.212142857,0.4625,0.803035714,0.340535714
2016/01,3.605384615,0.1625,0.901346154,0.738846154
2016/02,3.98,-0.1,0.995,1.095
2016/03,4.416153846,0.44,1.104038462,0.664038462
2016/04,5.430769231,0.8875,1.357692308,0.470192308
2017/01,6.406153846,0.7525,1.601538462,0.849038462
2017/02,6.858461538,0.1575,1.714615385,1.557115385
2017/03,7.093846154,0.4525,1.773461538,1.320961538
2017/04,7.173846154,0.695,1.793461538,1.098461538
2018/01,7.534615385,0.2225,1.883653846,1.661153846
2018/02,7.751538462,0.1075,1.937884615,1.830384615
2018/03,7.901538462,0.515,1.975384615,1.460384615
2018/04,8.142307692,0.54,2.035576923,1.495576923
2019/01,8.151538462,0.125,2.037884615,1.912884615
2019/02,8.181538462,0.05,2.045384615,1.995384615
2019/03,7.952307692,0.29,1.988076923,1.698076923
2019/04,7.463076923,0.5975,1.865769231,1.268269231
